"","gender","condtn","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1"
"126","1","1",1,"0",-0.51,"1",23,"4",10,25,20,25,5,15,"0",4,7,9,4,3,2,6,2,1,22,"Law","4",3,5,"MeetNewPpl","AlmostNever","SVRL/Week","Lawyer",7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
"2581","1","1",8,"1",0.32,"0",28,"4",13.04,21.74,19.57,17.39,15.22,13.04,"1",8,6,7,8,7,6,5,5,2,28,"Business","2",6,1,"ToSayIDidIt","2/Month","2/Week","Banking/Consulting",8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4,20.45,20.45,20.45,18.18,18.18,2.27,9.09,20.45,18.18,15.91,20.45,15.91,7,7,6,7,8
"4455","0","2",2,"0",0.21,"0",25,"2",24,15,20,20,8,13,"0",7,7,8,6,7,5,7,6,2,30,"Education","4",1,1,"FunNightOut","SVRL/Year","2/Week","Academic/Research",7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,6,20,20,35,5,10,10,35,20,10,20,10,5,9,10,7,9,7
"8229","1","2",1,"1",0,"1",23,"2",20,20,20,20,5,15,"1",7,5,7,7,7,9,5,7,2,30,"Business","2",3,4,"MeetNewPpl","2/Month","SVRL/Week","Banking/Consulting",10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,8,35,10,20,25,5,5,30,10,10,30,10,10,9,8,10,8,7
"2437","0","1",9,"0",-0.47,"0",24,"2",19.57,19.57,15.22,17.39,15.22,13.04,"0",7,8,9,3,9,3,5,2,2,28,"Business","4",10,1,"MeetNewPpl","SVRL/Year","1/Week","Banking/Consulting",7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,7,13.04,21.74,19.57,17.39,15.22,13.04,18.75,18.75,16.67,18.75,12.5,14.58,6,9,7,8,6
"1220","0","2",16,"1",0.72,"1",21,"2",19,24,21,23,5,8,"1",9,9,9,9,9,8.5,8,8,2,23,"SocialWork","2",8,10,"FunNightOut","1/Week","2/Week","IntlAffairs",10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,15,15,20,15,15,20,15,15,20,15,15,20,9,9,9,9,9
"8048","1","2",12,"0",0.1,"1",22,"4",20,20,10,15,5,30,"1",7,8,7,8,8,8,6,5,2,22,"Engineering","4",7,1,"FunNightOut","1/Month","SVRL/Week","Lawyer",6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,7,20,5,25,25,5,20,15,10,15,25,15,25,7,9,9,9,7
"5343","0","2",11,"0",0.51,"0",29,"3",75,5,5,10,0,5,"0",9,9,10,9,10,8,9,7,2,26,"Business","4",1,1,"FunNightOut","1/Month","1/Week","Banking/Consulting",6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,5,20,10,25,25,10,10,40,5,10,10,5,30,8,7,8,8,7
"36","0","1",5,"0",0.37,"1",25,"2",50,0,30,10,0,10,"1",6,6,7,7,8,7,6,6,2,23,"Law","2",1,1,"FunNightOut","1/Month","SVRL/Week","Lawyer",1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
"672","1","2",1,"0",0.28,"1",26,"2",20,25,20,15,15,5,"0",3,1,2,2,2,3,2,5,2,22,"Undergrad","2",9,2,"FunNightOut","1/Month","2/Week","Entertainment",3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6,30,15,25,25,5,0,30,15,25,25,5,0,7,9,6,7,6
"7188","1","2",3,"0",0.66,"1",27,"3",16,19,16,17,15,17,"0",6,6,8,5,7,7,6,5,2,32,"Bio","3",1,1,"GetADate","SVRL/Year","2/Week","DocMed",7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,8,20,20,20,15,10,15,10,25,25,15,15,10,7,10,8,9,9
"4994","1","1",9,"0",0.24,"1",34,"2",15,15,10,25,10,25,"0",5,7,7,5,4,5,5,7,2,28,"Engineering","2",1,1,"FunNightOut","1/Month","1/Week","Engineer",9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,17,17,17,17,16,16,16,17,17,17,17,16,6,6,6,6,6
"2974","0","2",9,"1",0.28,"0",26,"2",16.28,16.28,18.6,16.28,16.28,16.28,"1",8,8,8,8,6,7,8,6,2,27,"Business","3",3,6,"FunNightOut","1/Month","2/Week","Banking/Consulting",8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,14.29,18.37,18.37,16.33,18.37,14.29,22.5,15,15,22.5,12.5,12.5,7,9,7,8,9
"891","0","1",3,"0",0.03,"0",27,"1",21,17,22,20,8,13,"0",3,4,6,3,7,2,4,0,2,27,"SocialWork","4",6,3,"MeetNewPpl","SVRL/Year","1/Month","IntlAffairs",8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9
"399","0","2",2,"0",-0.49,"1",26,"2",20,35,20,10,10,5,"0",6,8,7,8,8,8,7,5,2,30,"SocScie/Psych","2",4,8,"Other","SVRL/Year","SVRL/Week","Entertainment",4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4,30,20,30,10,0,10,95,1,1,1,1,1,6,8,6,8,8
"2649","0","2",1,"1",0,"0",23,"2",17.02,21.28,17.02,21.28,14.89,8.51,"1",7,8,8,7,9,5,6,6,2,25,"History","4",1,6,"FunNightOut","SVRL/Week","SVRL/Week","Academic/Research",3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,17.65,17.65,17.65,15.69,15.69,15.69,18.75,18.75,16.67,16.67,14.58,14.58,9,9,9,9,9
"4993","1","1",8,"0",0.41,"0",22,"4",15,25,15,20,10,15,"0",4,8,8,4,6,2,4,7,2,28,"Engineering","2",1,1,"FunNightOut","1/Month","1/Week","Engineer",9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,17,17,17,17,16,16,16,17,17,17,17,16,6,6,6,6,6
"173","1","1",4,"0",0.29,"1",25,"2",35,10,35,10,10,0,"0",7,9,9,8,9,7,8,7,2,27,"Business","2",8,8,"FunNightOut","SVRL/Year","SVRL/Week","Banking/Consulting",5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9
"5451","1","2",4,"0",0.09,"0",26,"1",30,5,10,20,30,5,"1",7,10,9,7,7,5,7,5,2,27,"Business","3",6,2,"GetADate","2/Month","2/Week","Banking/Consulting",9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,6,25,25,25,15,10,0,25,10,25,20,15,5,8,8,8,9,9
"5332","0","2",7,"0",0.41,"0",30,"2",20.51,14.53,24.79,17.09,5.98,17.09,"1",8,8,8,7,8,8,8,8,2,26,"Business","4",1,1,"FunNightOut","1/Month","1/Week","Banking/Consulting",6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,5,20,10,25,25,10,10,40,5,10,10,5,30,8,7,8,8,7
"5025","0","2",2,"0",0.71,"0",34,"2",30,20,30,5,5,10,"0",7,8,9,7,7,1,7,5,2,23,"PoliSci","4",3,10,"FunNightOut","SVRL/Year","SVRL/Week","Undecided",1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5,20,20,20,20,20,0,60,10,10,15,0,5,7,9,9,7,9
"1862","0","1",4,"0",-0.1,"0",26,"4",17.39,17.39,15.22,17.39,13.04,19.57,"1",7,8,8,7,7,6,7,6,2,26,"SocScie/Psych","2",9,6,"FunNightOut","AlmostNever","2/Week","Academic/Research",3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6
"414","0","2",16,"0",-0.05,"0",28,"2",25,15,25,15,0,20,"1",7,7,7,7,7,7,7,7,2,21,"Business","4",2,2,"FunNightOut","SVRL/Year","2/Week","Banking/Consulting",7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6,30,5,30,15,15,5,20,20,25,20,5,10,7,7,7,7,8
"3498","1","1",3,"1",0.31,"0",26,"3",20,20,25,20,5,10,"1",4,6,7,3,2,7,6,5,2,27,"Lang","2",2,3,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,6,20,20,20,25,5,10,20,25,15,20,10,10,7,9,8,9,5
"7042","0","2",5,"0",0.35,"0",23,"2",25,20,15,20,5,15,"0",6,8,8,5,5,3,5,1,2,27,"Engineering","3",5,7,"FunNightOut","2/Month","2/Week","Engineer",9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,16,19,16,17,15,17,25,20,15,20,10,10,6,8,7,7,7
"3619","0","2",7,"0",0.39,"1",25,"2",27,15,28,10,10,10,"0",6,5,8,7,8,4,3,6,2,22,"History","2",8,3,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,6,25,7,25,25,8,10,30,15,10,25,10,10,8,7,8,10,8
"1523","1","2",12,"1",0.14,"1",22,"2",15,20,20,20,5,20,"1",9,8,7,8,5,7,8,5,2,27,"Bio","2",6,8,"MeetNewPpl","1/Month","1/Week","Academic/Research",8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,8,20,15,25,15,20,5,15,20,20,20,15,10,9,8,7,9,9
"3242","1","2",10,"0",-0.02,"0",23,"2",17.31,13.46,17.31,19.23,19.23,13.46,"0",7,6,7,8,6,6,6,9,2,28,"Business","3",4,9,"FunNightOut","AlmostNever","2/Week","Banking/Consulting",10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4,14.71,14.71,14.71,14.71,20.59,20.59,19.51,14.63,19.51,19.51,12.2,14.63,5,9,7,6,7
"1568","1","2",17,"1",0.63,"1",22,"2",15,20,20,20,15,10,"1",9,9,9,10,9,10,10,7,2,21,"History","2",1,1,"FunNightOut","2/Month","SVRL/Week","Academic/Research",7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,6,19,24,21,23,5,8,22,20,18,23,10,7,7,9,9,9,6
"8270","1","2",4,"0",0.07,"0",26,"3",25,25,25,12,3,10,"0",8,8,7,5,6,5,6,6,2,30,"Business","2",8,8,"FunNightOut","SVRL/Year","SVRL/Week","Banking/Consulting",10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,40,10,20,10,0,20,30,20,20,0,10,20,10,10,10,10,10
"7407","1","1",5,"0",0.25,"0",25,"2",18,18,18,18,18,10,"0",3,4,7,3,8,3,1,2,2,36,"Math","4",1,5,"GetADate","1/Month","SVRL/Week","Undecided",10,4,7,6,4,4,4,9,7,10,3,5,4,7,10,4,8,7,18,10,18,18,18,18,15,20,20,20,15,10,7,8,8,9,8
"1394","1","2",12,"0",0.04,"0",35,"3",10,32,20,12,11,15,"0",8,6,7,7,7,6,5,4,2,29,"Bio","2",4,1,"MeetNewPpl","1/Month","2/Week","Academic/Research",6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5,50,7,20,23,0,0,30,10,12,8,30,10,7,5,7,6,6
"5817","0","2",16,"0",0.19,"1",27,"2",75,5,5,5,5,5,"0",6,8,8,8,7,7,5,5,2,28,"Film","2",8,1,"MeetNewPpl","AlmostNever","1/Week","Entertainment",6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,25,25,25,10,10,5,80,0,10,10,0,0,7,7,7,7,10
"1539","1","2",3,"1",0.17,"0",32,"3",30,30,30,5,0,5,"1",5,5,7,8,7,5,7,5,2,25,"Law","1",1,1,"MeetNewPpl","AlmostNever","SVRL/Week","Lawyer",9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,30,15,20,20,0,5,25,15,20,15,10,15,8,7,9,8,6
"2311","1","2",14,"0",-0.05,"0",30,"1",14,18,16,18,18,16,"0",6,9,10,6,9,4,6,5,2,23,"Bio","2",1,1,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,18.6,13.95,18.6,16.28,16.28,16.28,13.64,18.18,20.45,13.64,15.91,18.18,6,7,7,7,5
"2655","0","2",12,"0",-0.34,"0",25,"6",16.67,16.67,16.67,16.67,14.81,18.52,"1",10,10,10,9,9,10,9,8,2,25,"History","4",1,6,"FunNightOut","SVRL/Week","SVRL/Week","Academic/Research",3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,17.65,17.65,17.65,15.69,15.69,15.69,18.75,18.75,16.67,16.67,14.58,14.58,9,9,9,9,9
"7049","0","2",7,"0",-0.02,"0",29,"4",15,20,20,20,5,20,"1",5,5,5,5,5,5,9,5,2,27,"Engineering","3",5,7,"FunNightOut","2/Month","2/Week","Engineer",9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,16,19,16,17,15,17,25,20,15,20,10,10,6,8,7,7,7
"6603","0","2",1,"1",0.73,"0",22,"2",25,15,25,25,5,5,"1",5,7,8,6,6,7,6,6,1,22,"Law","1",1,1,"FunNightOut","AlmostNever","2/Week","Lawyer",5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,5,25,5,20,25,15,10,50,1,4,25,10,10,7,9,9,9,9
"199","1","1",3,"0",-0.23,"0",26,"6",20,10,20,30,10,10,"1",7,8,7,8,7,8,8,5,2,24,"Business","2",1,1,"FunNightOut","SVRL/Week","SVRL/Week","Banking/Consulting",10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10
"7248","1","2",14,"0",0.12,"0",27,"3",16,19,16,17,15,17,"0",6,8,8,8,7,5,7,6,2,29,"Film","2",6,1,"MeetNewPpl","SVRL/Year","1/Week","Entertainment",3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3,30,15,20,10,10,15,50,0,25,10,15,0,3,7,6,8,6
"4056","1","2",19,"0",0.34,"1",22,"2",25,7,25,25,8,10,"0",8,7,6,5,4,3,4,4,2,21,"Engineering","2",1,1,"MeetNewPpl","2/Month","1/Week","Banking/Consulting",9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,6,25,10,25,5,10,25,10,15,20,15,15,25,10,7,6,10,10
"2831","0","2",18,"0",0.39,"1",27,"2",7.5,17.5,20,22.5,12.5,20,"1",7,8,7,8,7,5,6,5,2,23,"Bio","2",5,5,"FunNightOut","AlmostNever","SVRL/Week","Academic/Research",8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5,15.38,17.31,19.23,19.23,11.54,17.31,21.43,11.9,11.9,19.05,19.05,16.67,7,8,9,10,5
"6502","1","1",1,"0",0.42,"1",29,"2",20,20,20,10,10,20,"0",3,3,4,3,8,2,2,3,2,24,"Business","2",4,7,"MeetNewPpl","2/Week","SVRL/Week","Politics",7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,7,25,7,35,20,8,5,30,3,40,4,20,3,8,8,8,10,9
"6990","0","2",13,"0",0.07,"0",28,"2",20,10,20,20,20,0,"0",5,5,6,5,5,6,5,5,2,34,"Bio","4",1,1,"MeetNewPpl","SVRL/Year","2/Month","Academic/Research",7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,7,15,20,20,15,15,15,20,20,15,15,15,15,7,9,8,10,7
"4030","1","2",15,"0",0.34,"0",23,"4",16,16,19,17,14,18,"1",5,6,6,4,5,6,6,6,1,29,"Bio","2",8,4,"MeetNewPpl","1/Month","2/Week","Academic/Research",6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5,30,25,18,18,4,5,17,15,23,20,15,10,7,10,5,7,7
"5890","0","2",18,"0",-0.07,"1",23,"2",20,15,20,20,10,15,"0",5,7,7,6,5,4,6,5,2,26,"SocScie/Psych","2",4,2,"MeetNewPpl","AlmostNever","2/Week","Psychologist",1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,15,10,30,10,15,20,40,5,10,20,10,15,7,8,9,9,9
"1761","1","1",4,"0",-0.41,"0",21,"2",15,15,25,25,20,0,"1",7,10,8,8,8,6,8,7,2,18,"Engineering","4",3,5,"MeetNewPpl","1/Month","SVRL/Week","DocMed",9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,5,50,10,20,5,5,10,20,50,10,5,5,10,8,7,7,7,8
"5202","0","2",6,"0",0.31,"0",25,"4",30,10,15,20,15,10,"0",6,9,7,4,5,5,5,5,2,31,"Bio","2",9,5,"MeetNewPpl","AlmostNever","1/Week","DocMed",9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,6,12,25,25,8,15,15,30,5,10,25,5,25,7,10,6,8,8
"8144","1","2",13,"0",0.58,"1",27,"4",58,5,8,10,7,12,"0",4,6,7,6,7,6,4,4,2,23,"Engineering","4",7,1,"MeetNewPpl","1/Month","1/Week","Banking/Consulting",4,7,6,10,9,8,1,8,8,9,8,8,9,9,8,9,6,8,25,15,20,20,10,10,30,20,10,20,5,15,8,9,8,8,9
"8349","1","2",7,"0",0.55,"0",27,"4",10,25,20,20,5,20,"1",8,5,7,10,7,8,8,4,2,27,"Business","1",2,1,"FunNightOut","SVRL/Year","1/Week","Banking/Consulting",6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,3,40,20,20,20,0,0,60,0,0,40,0,0,7,8,3,8,5
"2791","0","2",16,"0",0.22,"1",27,"2",7.5,17.5,20,22.5,12.5,20,"1",9,9,9,9,9,9,8,7,2,22,"Math","2",4,10,"Other","SVRL/Year","2/Week","Academic/Research",3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,16,20,18,20,18,8,23.68,18.42,10.53,18.42,13.16,15.79,9,8,9,10,7
"4452","1","2",2,"0",0.47,"0",25,"2",25,20,25,25,5,0,"0",6,6,6,6,6,6,6,8,2,28,"Business","3",3,7,"MeetNewPpl","1/Month","2/Week","Banking/Consulting",6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6,23,18,21,18,10,10,15,25,20,15,15,10,7,10,9,9,9
"1332","0","2",1,"0",-0.03,"0",27,"4",20,20,20,20,10,10,"0",5,7,7,5,5,5,4,4,2,29,"Engineering","2",2,2,"FunNightOut","1/Month","SVRL/Week","Academic/Research",3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,14,20,18,24,18,6,30,15,15,20,10,10,8,8,8,8,7
"6316","1","2",18,"0",0.43,"1",26,"2",15,20,15,30,10,10,"1",8,10,10,8,8,9,9,8,2,23,"Engineering","2",5,5,"MeetNewPpl","SVRL/Year","1/Week","Academic/Research",10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7,20,15,20,20,10,15,15,15,20,20,15,15,7,9,8,9,8
"1509","1","2",18,"0",-0.05,"0",23,"4",15,21,18,18,10,18,"0",4,8,5,6,4,4,4,0,2,26,"Business","2",8,9,"MeetNewPpl","2/Month","SVRL/Week","Banking/Consulting",8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6,40,5,20,10,10,15,40,5,10,20,15,10,8,8,8,9,9
"3429","0","1",9,"0",0.19,"0",32,"2",18,10,30,10,10,22,"1",9,7,8,6,6,5,8,2,2,24,"Bio","4",3,3,"MeetNewPpl","AlmostNever","SVRL/Week","Academic/Research",9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,7,15,20,15,20,15,15,30,10,10,30,10,10,7,9,10,8,8
"4275","1","2",11,"0",0.24,"0",26,"1",20,20,20,10,20,10,"0",6,10,8,7,8,6,7,6,2,24,"Engineering","6",1,1,"SRSRelationship","SVRL/Year","SVRL/Year","Banking/Consulting",5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,10,20,20,25,25,5,5,20,20,25,25,5,5,8,10,10,10,8
"3459","0","1",1,"0",0.15,"0",27,"6",25,15,20,20,15,5,"0",6,7,8,6,3,4,6,4,2,34,"Bio","2",6,6,"MeetNewPpl","SVRL/Year","1/Week","Banking/Consulting",3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,7,10,25,20,20,5,20,20,20,15,20,10,15,7,9,7,9,4
"6890","0","2",10,"0",0.25,"1",30,"2",25,25,25,25,0,0,"1",9,8,7,9,7,7,8,8,2,24,"Other","2",1,1,"Other","AlmostNever","SVRL/Week","Undecided",4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,10,20,20,15,20,15,45,5,15,15,10,10,7,9,7,8,8
"8375","1","2",4,"0",0.71,"0",24,"6",50,20,10,5,10,5,"0",6,3,7,3,7,2,2,2,2,25,"Other","2",1,1,"FunNightOut","2/Week","SVRL/Week","Other",8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7,3,10,70,0,15,15,0,0,50,0,0,30,0,20,8,7,6,7,7
